,OMRÅDE,TID,SUNDHEDSUDGIFTER
805,Lyngby-Taarbæk,2016,4677
806,Rødovre,2016,5435
807,Ishøj,2016,5827
808,Tårnby,2016,5135
809,Vallensbæk,2016,4733
810,Furesø,2016,4648
811,Allerød,2016,4472
812,Fredensborg,2016,4926
813,Helsingør,2016,5385
814,Hillerød,2016,5015
815,Hørsholm,2016,4423
816,Rudersdal,2016,4777
817,Egedal,2016,4438
818,Frederikssund,2016,5301
819,Greve,2016,4516
820,Køge,2016,4570
821,Halsnæs,2016,5961
822,Roskilde,2016,4746
823,Solrød,2016,4461
824,Gribskov,2016,5413
825,Odsherred,2016,5349
826,Holbæk,2016,4820
827,Faxe,2016,4962
828,Kalundborg,2016,4787
829,Ringsted,2016,5008
830,Slagelse,2016,5108
831,Stevns,2016,4855
832,Sorø,2016,4964
833,Lejre,2016,4639
834,Lolland,2016,6185
835,Næstved,2016,5041
836,Guldborgsund,2016,5308
837,Vordingborg,2016,5240
838,Bornholm,2016,5377
839,Middelfart,2016,4821
840,Assens,2016,4873
841,Faaborg-Midtfyn,2016,5005
842,Kerteminde,2016,5124
843,Nyborg,2016,4827
844,Odense,2016,4579
845,Svendborg,2016,4921
846,Nordfyns,2016,4978
847,Langeland,2016,5900
848,Ærø,2016,5030
849,Haderslev,2016,4844
850,Billund,2016,5068
851,Sønderborg,2016,5183
852,Tønder,2016,5198
853,Esbjerg,2016,5187
854,Fanø,2016,6179
855,Varde,2016,4971
856,Vejen,2016,4797
857,Aabenraa,2016,5274
858,Fredericia,2016,5143
859,Horsens,2016,4746
860,Kolding,2016,4765
861,Vejle,2016,4623
862,Herning,2016,4306
863,Holstebro,2016,4826
864,Lemvig,2016,5099
865,Struer,2016,5066
866,Syddjurs,2016,5411
867,Norddjurs,2016,5344
868,Favrskov,2016,4365
869,Odder,2016,4428
870,Randers,2016,4995
871,Silkeborg,2016,4756
872,Samsø,2016,5170
873,Skanderborg,2016,4401
874,Aarhus,2016,4234
875,Ikast-Brande,2016,4397
876,Ringkøbing-Skjern,2016,4622
877,Hedensted,2016,4387
878,Morsø,2016,4982
879,Skive,2016,4923
880,Thisted,2016,4957
881,Viborg,2016,4815
882,Brønderslev,2016,4512
883,Frederikshavn,2016,4875
884,Vesthimmerlands,2016,4767
885,Læsø,2016,4938
886,Rebild,2016,4468
887,Mariagerfjord,2016,4626
888,Jammerbugt,2016,4753
889,Aalborg,2016,4241
890,Hjørring,2016,4864
891,Hele landet,2017,4834
892,København,2017,4637
893,Frederiksberg,2017,4655
894,Ballerup,2017,6292
895,Brøndby,2017,5859
896,Dragør,2017,4690
897,Gentofte,2017,4689
898,Gladsaxe,2017,5372
899,Glostrup,2017,5392
900,Herlev,2017,5511
901,Albertslund,2017,5182
902,Hvidovre,2017,5255
903,Høje-Taastrup,2017,5377
904,Lyngby-Taarbæk,2017,4936
905,Rødovre,2017,5366
906,Ishøj,2017,5487
907,Tårnby,2017,5051
908,Vallensbæk,2017,5022
909,Furesø,2017,4811
910,Allerød,2017,4492
911,Fredensborg,2017,4790
912,Helsingør,2017,5253
913,Hillerød,2017,5048
914,Hørsholm,2017,5409
915,Rudersdal,2017,4970
916,Egedal,2017,4613
917,Frederikssund,2017,5277
918,Greve,2017,4578
919,Køge,2017,4663
920,Halsnæs,2017,5786
921,Roskilde,2017,4838
922,Solrød,2017,4615
923,Gribskov,2017,5278
924,Odsherred,2017,5335
925,Holbæk,2017,4678
926,Faxe,2017,5110
927,Kalundborg,2017,4775
928,Ringsted,2017,5024
929,Slagelse,2017,5054
930,Stevns,2017,4794
931,Sorø,2017,4946
932,Lejre,2017,4934
933,Lolland,2017,6295
